timestamp,host,rtt_ms,loss_total,sent_total,avg_rtt_ms,min_rtt_ms,max_rtt_ms
2026-04-09 07:01:05.246,10.45.0.26,31.1,0,1,31.1,31.1,31.1
2026-04-09 07:01:05.381,10.45.0.26,56.0,0,2,43.55,31.1,56.0
2026-04-09 07:01:05.541,10.45.0.26,36.5,0,3,41.2,31.1,56.0
2026-04-09 07:01:05.682,10.45.0.26,36.3,0,4,39.97,31.1,56.0
2026-04-09 07:01:05.821,10.45.0.26,37.1,0,5,39.4,31.1,56.0
2026-04-09 07:01:05.962,10.45.0.26,36.5,0,6,38.92,31.1,56.0
2026-04-09 07:01:06.102,10.45.0.26,133.0,0,7,52.36,31.1,133.0
2026-04-09 07:01:06.338,10.45.0.26,16.0,0,8,47.81,16.0,133.0
2026-04-09 07:01:06.458,10.45.0.26,41.0,0,9,47.06,16.0,133.0
2026-04-09 07:01:06.602,10.45.0.26,56.1,0,10,47.96,16.0,133.0
2026-04-09 07:01:06.761,10.45.0.26,37.2,0,11,46.98,16.0,133.0
2026-04-09 07:01:06.902,10.45.0.26,51.9,0,12,47.39,16.0,133.0
2026-04-09 07:01:07.057,10.45.0.26,41.5,0,13,46.94,16.0,133.0
2026-04-09 07:01:07.202,10.45.0.26,32.0,0,14,45.87,16.0,133.0
2026-04-09 07:01:07.337,10.45.0.26,16.9,0,15,43.94,16.0,133.0
2026-04-09 07:01:07.457,10.45.0.26,21.0,0,16,42.51,16.0,133.0
2026-04-09 07:01:07.582,10.45.0.26,95.3,0,17,45.61,16.0,133.0
2026-04-09 07:01:07.782,10.45.0.26,16.5,0,18,43.99,16.0,133.0
2026-04-09 07:01:07.902,10.45.0.26,56.0,0,19,44.63,16.0,133.0
2026-04-09 07:01:08.062,10.45.0.26,36.0,0,20,44.2,16.0,133.0
2026-04-09 07:01:08.201,10.45.0.26,37.6,0,21,43.88,16.0,133.0
2026-04-09 07:01:08.343,10.45.0.26,115.0,0,22,47.11,16.0,133.0
2026-04-09 07:01:08.562,10.45.0.26,159.0,0,23,51.98,16.0,159.0
2026-04-09 07:01:08.824,10.45.0.26,80.5,0,24,53.17,16.0,159.0
2026-04-09 07:01:09.008,10.45.0.26,55.0,0,25,53.24,16.0,159.0
2026-04-09 07:01:09.167,10.45.0.26,57.3,0,26,53.4,16.0,159.0
2026-04-09 07:01:09.328,10.45.0.26,227.0,0,27,59.83,16.0,227.0
2026-04-09 07:01:09.659,10.45.0.26,126.0,0,28,62.19,16.0,227.0
2026-04-09 07:01:09.888,10.45.0.26,151.0,0,29,65.25,16.0,227.0
2026-04-09 07:01:10.143,10.45.0.26,29.5,0,30,64.06,16.0,227.0
2026-04-09 07:01:10.276,10.45.0.26,40.9,0,31,63.31,16.0,227.0
2026-04-09 07:01:10.421,10.45.0.26,128.0,0,32,65.33,16.0,227.0
2026-04-09 07:01:10.652,10.45.0.26,85.8,0,33,65.95,16.0,227.0
2026-04-09 07:01:10.842,10.45.0.26,56.7,0,34,65.68,16.0,227.0
2026-04-09 07:01:11.001,10.45.0.26,56.9,0,35,65.43,16.0,227.0
2026-04-09 07:01:11.161,10.45.0.26,32.1,0,36,64.51,16.0,227.0
2026-04-09 07:01:11.297,10.45.0.26,118.0,0,37,65.95,16.0,227.0
2026-04-09 07:01:11.517,10.45.0.26,22.4,0,38,64.81,16.0,227.0
2026-04-09 07:01:11.643,10.45.0.26,35.7,0,39,64.06,16.0,227.0
2026-04-09 07:01:11.783,10.45.0.26,74.5,0,40,64.32,16.0,227.0
2026-04-09 07:01:11.962,10.45.0.26,116.0,0,41,65.58,16.0,227.0
2026-04-09 07:01:12.181,10.45.0.26,36.7,0,42,64.89,16.0,227.0
2026-04-09 07:01:12.324,10.45.0.26,29.4,0,43,64.07,16.0,227.0
2026-04-09 07:01:12.457,10.45.0.26,121.0,0,44,65.36,16.0,227.0
2026-04-09 07:01:12.681,10.45.0.26,23.2,0,45,64.42,16.0,227.0
2026-04-09 07:01:12.807,10.45.0.26,152.0,0,46,66.33,16.0,227.0
2026-04-09 07:01:13.063,10.45.0.26,71.3,0,47,66.43,16.0,227.0
2026-04-09 07:01:13.237,10.45.0.26,61.5,0,48,66.33,16.0,227.0
2026-04-09 07:01:13.402,10.45.0.26,35.7,0,49,65.71,16.0,227.0
2026-04-09 07:01:13.543,10.45.0.26,55.9,0,50,65.51,16.0,227.0
2026-04-09 07:01:13.702,10.45.0.26,91.4,0,51,66.02,16.0,227.0
2026-04-09 07:01:13.897,10.45.0.26,20.6,0,52,65.14,16.0,227.0
2026-04-09 07:01:14.022,10.45.0.26,36.3,0,53,64.6,16.0,227.0
2026-04-09 07:01:14.161,10.45.0.26,36.5,0,54,64.08,16.0,227.0
2026-04-09 07:01:14.301,10.45.0.26,92.4,0,55,64.59,16.0,227.0
2026-04-09 07:01:14.498,10.45.0.26,100.0,0,56,65.23,16.0,227.0
2026-04-09 07:01:14.703,10.45.0.26,115.0,0,57,66.1,16.0,227.0
2026-04-09 07:01:14.921,10.45.0.26,76.5,0,58,66.28,16.0,227.0
2026-04-09 07:01:15.101,10.45.0.26,58.3,0,59,66.14,16.0,227.0
2026-04-09 07:01:15.263,10.45.0.26,36.3,0,60,65.65,16.0,227.0
2026-04-09 07:01:15.403,10.45.0.26,55.9,0,61,65.49,16.0,227.0
